URL,(GDELT ONLINE),,Title,,,,
https://archive.org/details/FOXNEWSW_20200412_050000_The_Greg_Gutfeld_Show#start/363/end/398,4/12/2020 5:06,FOXNEWS,The Greg Gutfeld Show,FOXNEWSW_20200412_050000_The_Greg_Gutfeld_Show,https://archive.org/download/FOXNEWSW_20200412_050000_The_Greg_Gutfeld_Show/FOXNEWSW_20200412_050000_The_Greg_Gutfeld_Show.thumbs/FOXNEWSW_20200412_050000_The_Greg_Gutfeld_Show_000358.jpg,impeachment but while the virus spread. when this is over you can pretend they were there to first sound the alarm but they were not. in fact they were busy calling people racist for sounding the alarm. and then they lied that their site did not dismiss the threat.,
https://archive.org/details/MSNBCW_20200412_040000_MSNBC_Live#start/2236/end/2271,4/12/2020 4:37,MSNBC,MSNBC Live,MSNBCW_20200412_040000_MSNBC_Live,https://archive.org/download/MSNBCW_20200412_040000_MSNBC_Live/MSNBCW_20200412_040000_MSNBC_Live.thumbs/MSNBCW_20200412_040000_MSNBC_Live_001060.jpg,"racial descriptors to describe diseases as opposed to describing what the disease does. sars, severe acute respiratory syndrome, perfect name. zika virus, bad name and possibly completely untrue. set that aside, maria and talk",
https://archive.org/details/MSNBCW_20200412_040000_MSNBC_Live#start/1967/end/2002,4/12/2020 4:33,MSNBC,MSNBC Live,MSNBCW_20200412_040000_MSNBC_Live,https://archive.org/download/MSNBCW_20200412_040000_MSNBC_Live/MSNBCW_20200412_040000_MSNBC_Live.thumbs/MSNBCW_20200412_040000_MSNBC_Live_001060.jpg,is to see how structural racism relates to that. and one thing she mentioned to me is that folks will call this virus the great equalizer which is true. anyone who is exposed to the,
https://archive.org/details/MSNBCW_20200412_040000_MSNBC_Live#start/1503/end/1538,4/12/2020 4:25,MSNBC,MSNBC Live,MSNBCW_20200412_040000_MSNBC_Live,https://archive.org/download/MSNBCW_20200412_040000_MSNBC_Live/MSNBCW_20200412_040000_MSNBC_Live.thumbs/MSNBCW_20200412_040000_MSNBC_Live_001060.jpg,"racial disparity in covid-19 cases. according to 'the new york times,' this disparity is indisputable, especially among hispanic day laborers, restaurant workers and cleaners and one-third of new york city's covid-19 fatalities have been",
https://archive.org/details/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall#start/2044/end/2079,4/12/2020 2:34,CNN,Coronavirus Facts and Fears A CNN Global Town Hall,CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall,https://archive.org/download/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall.thumbs/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall_002039.jpg,"at greater risk. the data that we have now clearly does show that minority populations appear to be having a greater risk for complications. i want to emphasize, this virus, in our view, does not discriminate who it infects. it can affect all of us.",
https://archive.org/details/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall#start/1947/end/1982,4/12/2020 2:32,CNN,Coronavirus Facts and Fears A CNN Global Town Hall,CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall,https://archive.org/download/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall.thumbs/CNNW_20200412_020000_Coronavirus_Facts_and_Fears_A_CNN_Global_Town_Hall_001949.jpg,"i'm having an earpiece problem. i tried to do the best i could. no problem. ricky from georgia says, what's the racial breakdown of covid-19 cases and deaths? what percentage of each racial group has been affected, black,",
https://archive.org/details/FOXNEWSW_20200412_020000_The_Greg_Gutfeld_Show#start/362/end/397,4/12/2020 2:06,FOXNEWS,The Greg Gutfeld Show,FOXNEWSW_20200412_020000_The_Greg_Gutfeld_Show,https://archive.org/download/FOXNEWSW_20200412_020000_The_Greg_Gutfeld_Show/FOXNEWSW_20200412_020000_The_Greg_Gutfeld_Show.thumbs/FOXNEWSW_20200412_020000_The_Greg_Gutfeld_Show_000359.jpg,impeachment but while the virus spread. when this is over you can pretend they were there to first sound the alarm but they were not. in fact they were busy calling people racist for sounding the alarm. and then they lied that their site did not dismiss the threat.,
https://archive.org/details/MSNBCW_20200412_010000_MSNBC_Live#start/2244/end/2279,4/12/2020 1:37,MSNBC,MSNBC Live,MSNBCW_20200412_010000_MSNBC_Live,https://archive.org/download/MSNBCW_20200412_010000_MSNBC_Live/MSNBCW_20200412_010000_MSNBC_Live.thumbs/MSNBCW_20200412_010000_MSNBC_Live_002217.jpg,"describing what the disease does. chinese flu, bad name and possibly untrue. what do we do about these systemic racial issues?",
https://archive.org/details/MSNBCW_20200412_010000_MSNBC_Live#start/1500/end/1535,4/12/2020 1:25,MSNBC,MSNBC Live,MSNBCW_20200412_010000_MSNBC_Live,https://archive.org/download/MSNBCW_20200412_010000_MSNBC_Live/MSNBCW_20200412_010000_MSNBC_Live.thumbs/MSNBCW_20200412_010000_MSNBC_Live_001498.jpg,"regulatory agencies to enforce the cdc guidelines. lamont byrd of the teamsters and mayor roger steele of grand island, nebraska, thank you. now earlier we mentioned the racial disparity in covid-19 cases. according to 'the new york",
https://archive.org/details/CNNW_20200412_010000_The_Situation_Room_With_Wolf_Blitzer#start/1122/end/1157,4/12/2020 1:18,CNN,The Situation Room With Wolf Blitzer,CNNW_20200412_010000_The_Situation_Room_With_Wolf_Blitzer,https://archive.org/download/CNNW_20200412_010000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20200412_010000_The_Situation_Room_With_Wolf_Blitzer.thumbs/CNNW_20200412_010000_The_Situation_Room_With_Wolf_Blitzer_001079.jpg,"it's just our way of doing our part. there are very alarming statistics out this week breaking down the coronavirus infections and deaths along racial lines here in the united states. in many major cities, the african-american community is",
